DATA;MES;ANO
01/09/2020;9;2020
02/09/2020;9;2020
03/09/2020;9;2020
04/09/2020;9;2020
05/09/2020;9;2020
06/09/2020;9;2020
07/09/2020;9;2020
08/09/2020;9;2020
09/09/2020;9;2020
10/09/2020;9;2020
11/09/2020;9;2020
12/09/2020;9;2020
13/09/2020;9;2020
14/09/2020;9;2020
15/09/2020;9;2020
16/09/2020;9;2020
17/09/2020;9;2020
18/09/2020;9;2020
19/09/2020;9;2020
20/09/2020;9;2020
